H	Env	GY_BLUE	GM_BLUE	NE_BLUE
H_275	2008_CAMPO_MOURAO	5.62440644408068	26.15	35.3352985567402
H_276	2008_CAMPO_MOURAO	5.64877358650471	25.0662161392853	36.2746124579441
H_277	2008_CAMPO_MOURAO	5.31372411352575	24.7729729114282	37.7065056755654
H_278	2008_CAMPO_MOURAO	6.18497632362412	25.7618243512501	36.61176618558
H_279	2008_CAMPO_MOURAO	5.29738815614112	26.8184123179473	35.7879288117473
H_280	2008_CAMPO_MOURAO	5.15572720119137	27.9233952096872	34.1761626261674
H_281	2008_CAMPO_MOURAO	5.99736647776076	30.2761824920539	34.61176618558
H_282	2008_CAMPO_MOURAO	6.36499830477962	26.8919763330802	37.8371537276358
H_283	2008_CAMPO_MOURAO	5.41547880573945	29.4185811233931	34.3390088985315
H_284	2008_CAMPO_MOURAO	5.78757448188598	30.2288850870533	34.4678017797062
H_285	2008_CAMPO_MOURAO	4.93466053074407	28.5881756487498	31.4981448291043
H_286	2008_CAMPO_MOURAO	5.46617209611392	29.2360641574552	31.4526302550072
H_287	2008_CAMPO_MOURAO	4.73262262313496	28.2928209295981	38.8845234726285
H_288	2008_CAMPO_MOURAO	4.36437483323333	29.53167236942	33.2897839826431
H_289	2008_CAMPO_MOURAO	4.98378666575033	39.1882603361173	35.4659466088105
H_290	2008_CAMPO_MOURAO	4.80212571080058	30.2432432278571	34.3541804232305
H_291	2008_CAMPO_MOURAO	5.95176498736997	31.8460305102238	33.7897839826432
H_292	2008_CAMPO_MOURAO	4.76389681438882	32.8118243512502	35.015171524699
H_293	2008_CAMPO_MOURAO	5.38187731534865	28.038429141563	37.0170266955947
H_196	2008_CAMPO_MOURAO	6.24501041578565	26.7618243512502	35.9999999999999
H_197	2008_CAMPO_MOURAO	6.23208659289201	33.9672295412489	34.7934943244345
H_198	2009_CAMPO_MOURAO	9.90723163795407	19.2241186500611	46.3407085454818
H_294	2009_CAMPO_MOURAO	10.6589684382833	17.3208138754995	42.1230708709247
H_201	2009_CAMPO_MOURAO	6.80424971619535	19.2184735320904	28.1883421347149
H_295	2009_CAMPO_MOURAO	9.12286739335949	17.5708138754995	39.3053980871095
H_296	2009_CAMPO_MOURAO	8.32628289894642	16.3228681272821	42.8061549029809
H_297	2009_CAMPO_MOURAO	9.42724461593994	15.0470092212024	42.4839239387611
H_298	2009_CAMPO_MOURAO	8.28327137673535	17.2710419092246	39.497598479975
H_299	2009_CAMPO_MOURAO	8.21375001552947	15.8502280337251	44.3882021502641
H_300	2009_CAMPO_MOURAO	7.36008796386025	14.1373415617053	39.272090979769
H_301	2009_CAMPO_MOURAO	9.7493757667426	17.8734213787014	42.8675679086205
H_302	2009_CAMPO_MOURAO	9.65170312198763	15.5448353415927	39.6619378341867
H_303	2009_CAMPO_MOURAO	7.56842657304117	14.6596452156391	34.3747724686956
H_304	2009_CAMPO_MOURAO	8.0843882900347	18.5337863095594	33.5525415044759
H_305	2009_CAMPO_MOURAO	8.5504150508301	16.5078189975816	39.0662160456897
H_306	2009_CAMPO_MOURAO	6.83589368962422	20.5370051220821	38.4568197159788
H_307	2009_CAMPO_MOURAO	7.37561389860899	15.6967699655483	35.1072396693313
H_308	2009_CAMPO_MOURAO	6.45651944083735	17.9601984670585	32.4361854743353
H_309	2009_CAMPO_MOURAO	6.46415360633039	16.8107238143391	32.5774890668785
H_310	2009_CAMPO_MOURAO	6.64587705738393	14.4755336883855	31.7903237013875
H_311	2009_CAMPO_MOURAO	8.79683877437746	16.7996747823058	38.9680927371677
H_312	2009_CAMPO_MOURAO	7.60286553517286	15.073707470328	36.9817672783815
H_313	2009_CAMPO_MOURAO	7.45334417396699	17.6528935948285	37.3723709486706
H_314	2009_CAMPO_MOURAO	7.39055256140656	15.8097648434662	37.6960017573987
